,MAE,RMSE,R2
Linear Regression,23225.21081605084,70234.79580665306,0.11296420739952939
Random Forest,22097.150442625596,75230.13856269661,-0.017701042725132066
XGBoost,20301.6097737995,70021.76085951862,0.11833709478378296
